keyword;keterangan
batubara;objek
emas perhiasan;objek
kondensat;objek
kelapa sawit;objek
barang tidak berwujud;objek
pupuk;objek
reboisasi;objek
reklamasi;objek
solar;objek
ekspor;objek
impor;objek
kegiatan membangun sendiri;objek
jasa luar negeri;objek
jasa maklon;objek
jasa penerbangan;objek
jasa pertambangan;objek
jasa manajemen;objek
pembibitan;objek
pemeliharaan kebun;objek
penanaman;objek
komisi;objek
biaya bunga;objek
parking fee;objek
rental fee;objek
royalti;objek
technical assistance fee;objek
garansi;objek
potongan premi asuransi;objek
diskon asuransi;objek
reimburse;objek
insentif;objek
rabat;objek
refraksi;objek
barang tidak berwujud;objek
jasa dari luar daerah pabean;objek
tidak dapat dikreditkan;koreksi
faktur pajak tidak sah;koreksi
saat terutang pajak;koreksi
pemenuhan formal;koreksi
pemenuhan material;koreksi
lewat waktu;koreksi
nota retur;koreksi
konfirmasi negatif;koreksi
dokumen lain;koreksi
batas pelaporan;koreksi
batas penyetoran;koreksi
batas pemungutan;koreksi
ekualisasi;koreksi
semula tidak untuk diperjualbelikan;koreksi
nilai lain;koreksi
kompensasi;koreksi
pengembalian kelebihan;koreksi
uang muka;koreksi
koreksi dasar pengenaan pajak;koreksi
sebelum dikukuhkan;koreksi
penggabungan;koreksi
peleburan;koreksi
pemekaran;koreksi
pemecahan;koreksi
pengambilalihan usaha ;koreksi
pemberian cuma-cuma;koreksi
hubungan istimewa;koreksi
pemakaian sendiri;koreksi
penerapan tarif;koreksi
barang strategis;koreksi
tidak dipungut;koreksi
ditanggung pemerintah;koreksi
dibebaskan;koreksi
selisih kurs;koreksi
ditangguhkan;koreksi
ditunda;koreksi
sanksi administrasi;koreksi
denda;koreksi
penghapusan sanksi;koreksi
pembatalan sanksi;koreksi
gugatan;koreksi
surat paksa;koreksi
