TopikSengketa;PasalDetil;Pasal;Keterangan
Penyerahan BKP;pasal 1a;Pasal 1a;Klasifikasi transaksi penyerahan BKP
Penyerahan BKP;pasal 1a ayat (1);Pasal 1a;Klasifikasi transaksi penyerahan BKP
Penyerahan BKP;pasal 1a ayat (2);Pasal 1a;Klasifikasi bukan penyerahan BKP
Hubungan Istimewa;pasal 2;Pasal 2;Terdapat transaksi hubungan istimewa
Hubungan Istimewa;pasal 2 ayat (1);Pasal 2;Harga jual atau penggantian transaksi hubungan istimewa
Hubungan Istimewa;pasal 2 ayat (2);Pasal 2;Termasuk dalam pengertian hubungan istimewa
Kewajiban PKP;pasal 3a;Pasal 3a;Kewajiban sebagai PKP
Kewajiban PKP;pasal 3a ayat (1);Pasal 3a;Kewajiban melaporkan usaha dan dikukuhkan PKP
Kewajiban PKP;pasal 3a ayat (1a);Pasal 3a;Pengusaha kecil
Kewajiban PKP;pasal 3a ayat (2);Pasal 3a;Pengusaha kecil memilih sebagai PKP
Kewajiban PKP;pasal 3a ayat (3);Pasal 3a;Kewajiban atas transaksi BKP/JKP dari luar daerah pabean
Objek Pajak;pasal 4;Pasal 4;Pengenaan PPN atas Objek PPN
Objek Pajak;pasal 4a ayat (2);Pasal 4a;Transaksi barang yang tidak termasuk objek PPN
Objek Pajak;pasal 4a ayat (3);Pasal 4a;Transaksi jasa yang tidak termasuk objek PPN
Objek Pajak;pasal 5;Pasal 5;Transaksi yang termasuk dikenakan PPnBM
Objek Pajak;pasal 5 ayat (1);Pasal 5;Transaksi yang termasuk dikenakan PPnBM
Objek Pajak;pasal 5 ayat (2);Pasal 5;PPnBM tidak dapat dikreditkan
Objek Pajak;pasal 5a;Pasal 5a;PPN atas transaksi yang dikembalikan/dibatalkan
Objek Pajak;pasal 5a ayat (1);Pasal 5a;PPN atas transaksi BKP dikembalikan
Objek Pajak;pasal 5a ayat (2);Pasal 5a;PPN atas transaksi JKP dibatalkan
Penghitungan Pajak;pasal 7;Pasal 7;Penerapan tarif PPN
Penghitungan Pajak;pasal 7 ayat (1);Pasal 7;Penerapan tarif PPN
Penghitungan Pajak;pasal 7 ayat (2);Pasal 7;Penerapan tarif PPN
Penghitungan Pajak;pasal 7 ayat (3);Pasal 7;Penerapan tarif PPN
Penghitungan Pajak;pasal 7 ayat (4);Pasal 7;Penerapan tarif PPN
Penghitungan Pajak;pasal 8;Pasal 8;Penerapan tarif PPnBM
Penghitungan Pajak;pasal 8 ayat (1);Pasal 8;Penerapan tarif PPnBM
Penghitungan Pajak;pasal 8 ayat (2);Pasal 8;Penerapan tarif PPnBM
Penghitungan Pajak;pasal 8 ayat (3);Pasal 8;Penerapan tarif PPnBM
Penghitungan Pajak;pasal 8 ayat (4);Pasal 8;Penerapan tarif PPnBM
Penghitungan Pajak;pasal 8a;Pasal 8a;Penerapan Dasar Pengenaan Pajak (DPP)
Penghitungan Pajak;pasal 8a ayat (1);Pasal 8a;Penerapan Dasar Pengenaan Pajak (DPP)
Penghitungan Pajak;pasal 8a ayat (3);Pasal 8a;Penerapan nilai lain sebagai DPP transaksi dari luar daerah pabean
Penghitungan Pajak;pasal 9;Pasal 9;Pengkreditan Pajak Masukan
Penghitungan Pajak;pasal 9 ayat (2);Pasal 9;Pengkreditan Pajak Masukan
Penghitungan Pajak;pasal 9 ayat (2a);Pasal 9;Pengkreditan Pajak Masukan dari luar daerah pabean
Penghitungan Pajak;pasal 9 ayat (2b);Pasal 9;Pengkreditan Pajak Masukan dengan Faktur Pajak
Penghitungan Pajak;pasal 9 ayat (3);Pasal 9;Selisih Pajak keluaran dan masukan
Penghitungan Pajak;pasal 9 ayat (4);Pasal 9;Kompensasi selisih lebih pajak masukan
Penghitungan Pajak;pasal 9 ayat (4a);Pasal 9;Pengembalian kelebihan pajak masukan pada akhir tahun
Penghitungan Pajak;pasal 9 ayat (4b);Pasal 9;Pengembalian kelebihan pajak masukan pada masa pajak
Penghitungan Pajak;pasal 9 ayat (4c);Pasal 9;Pengembalian pendahuluan kelebihan pajak masukan wp risiko rendah
Penghitungan Pajak;pasal 9 ayat (4e);Pasal 9;Pemeriksaan setelah pengembalian pendahuluan wp risiko rendah
Penghitungan Pajak;pasal 9 ayat (4f);Pasal 9;Sanksi berdaarkan pemeriksaan setelah pengembalian pendahuluan wp risiko rendah
Penghitungan Pajak;pasal 9 ayat (5);Pasal 9;Pajak Masukan dari pembukuan
Penghitungan Pajak;pasal 9 ayat (6);Pasal 9;Pajak Masukan dengan pedoman pengkreditan
Penghitungan Pajak;pasal 9 ayat (6a);Pasal 9;Batas waktu pengkreditan Pajak Masukan
Penghitungan Pajak;pasal 9 ayat (6c);Pasal 9;Batas waktu pengkreditan Pajak Masukan sektor tertentu
Penghitungan Pajak;pasal 9 ayat (6d);Pasal 9;Batas waktu pengkreditan Pajak Masukan PKP dicabut
Penghitungan Pajak;pasal 9 ayat (6e);Pasal 9;Penyetoran Pajak Masukan tidak dapat dikreditkan
Penghitungan Pajak;pasal 9 ayat (6f);Pasal 9;Batas penyetoran Pajak Masukan tidak dapat dikreditkan
Penghitungan Pajak;pasal 9 ayat (6g);Pasal 9;Batas penyetoran Pajak Masukan tidak dapat dikreditkan
Penghitungan Pajak;pasal 9 ayat (8);Pasal 9;Pajak Masukan tidak dapat dikreditkan
Penghitungan Pajak;pasal 9 ayat (9);Pasal 9;Pengekreditan Pajak Masukan lewat waktu
