file_names,link,noput,absris,tahun
000001.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/48964,PUT-000001.16/2019/PP/M.XXA Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000002.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/75763, PUT-000002.16/2019/PP/M.XVIA Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000003.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/75764,PUT-000003.16/2019/PP/M.XVIA Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000009.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/42658,PUT-000009.16/2019/PP/M.XlllB Tahun 2020,PPN,2020.0
000034.16.2022w.txt,,,,
000035.16.2022w.txt,,,,
000036.16.2022w.txt,,,,
000037.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/61385,PUT-000037.16/2020/PP/M.XIA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000037.16.2022w.txt,,,,
000038.16.2022w.txt,,,,
000039.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/61386,PUT-000039.16/2020/PP/M.XIA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000039.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/51444,PUT-000039.16/2021/PP/M.VB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000039.16.2022w.txt,,,,
000040.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/61624,PUT-000040.16/2020/PP/M.XIA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000040.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/77099,PUT-000040.16/2021/PP/M.VB Tahun 2022 ,Pajak Pertambahan Nilai (PPN),2022.0
000040.16.2022w.txt,,,,
000041.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/58676,PUT-000041.16/2020/PP/M.XIVA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000041.16.2022w.txt,,,,
000042.16.2022w.txt,,,,
000043.16.2019rw.txt,,,,
000043.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/46701,PUT-000043.16/2019/PP/M.VA Tahun 2020,PPN,2020.0
000043.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/58494,PUT-000043.16/2020/PP/M.XIVA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000043.16.2022w.txt,,,,
000044.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/58495,PUT-000044.16/2020/PP/M.XIVA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000044.16.2022w.txt,,,,
000045.16.2019_w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/42407,PUT-000045.16/2019/PP/M.IVA Tahun 2020,PPN,2020.0
000045.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/58677,PUT-000045.16/2020/PP/M.XIVA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000045.16.2022w.txt,,,,
000046.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/58496,PUT-000046.16/2020/PP/M.XIVA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000047.16.2020_w.txt,,,,
000048.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/58678,PUT-000048.16/2020/PP/M.XIVA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000049.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/58497,PUT-000049.16/2020/PP/M.XIVA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000050.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/58679,PUT-000050.16/2020/PP/M.XIVA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000051.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/58680,PUT-000051.16/2020/PP/M.XIVA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000052.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/58681,PUT-000052.16/2020/PP/M.XIVA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000053.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/65800,PUT-000053.16/2020/PP/M.XIVB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000054.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/42284,PuT-000054.16/2020/PP /HT.I Tahun 2020,PPN,2020.0
000055.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/68744,PUT-000055.16/2020/PP/M.XllIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000056.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/68745,PUT-000056.16/2020/PP/M.XllIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000056.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/71886,PUT-000056.16/2021/PP/M. XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000057.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/69611,PUT-000057.16/2020/PP/M.XIllB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000057.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/71951,PUT-000057.16/2021/PP/M.XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000058.16.2020w-.txt,,,,
000058.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/68781,PUT-000058.16/2020/PP/M.XIllB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000058.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/75580,PUTP1-000058.16/2020/PP/M.XlllB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000058.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/72843,PUT-000058.16/2021/PP/M.XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000059.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/69018,PUT-000059.16/2020/PP/M.XllB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000059.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/72291,PUT-000059.16/2021/PP/M.XIIIB Tahun 2022 ,Pajak Pertambahan Nilai (PPN),2022.0
000060.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/68743,PUT-000060.16/2020/PP/M.XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000060.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/68746,PUT-000060.16/2020/PP/M.XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
